"marker","tissue","induction","n","Q1","median","Q3"
"DNase","lung","Induced",138,0.515799751167074,0.682271026679507,0.823446348807214
"DNase","lung","Spontaneous",36,0.514650248711346,0.643166942133928,0.774243890328252
"H3K27ac","liver","Induced",101,0.523443002532005,0.637133196954873,0.750241035776969
"H3K27ac","liver","Spontaneous",11,0.554839348245452,0.595457134313958,0.654311873596321
"H3K27me3","liver","Induced",101,0.457945960906536,0.797659785391258,1.22435552211802
"H3K27me3","liver","Spontaneous",11,0.298307579500357,0.466712300566004,0.731196876706824
"H3K36me3","liver","Induced",101,0.432098651882941,0.541258027700007,0.642312850600231
"H3K36me3","liver","Spontaneous",11,0.431695959551226,0.501568113923174,0.597572418293866
"H3K4me1","lung","Induced",46,0.325883549873836,0.444609286353373,0.583709539207792
"H3K4me1","lung","Spontaneous",12,0.348357074478209,0.46479890105518,0.613842523688806
"H3K4me3","lung","Induced",46,0.337241412667029,0.456716080793143,0.547918285888457
"H3K4me3","lung","Spontaneous",12,0.37438531189055,0.519593759873859,0.665557944461619
"H3K79me2","liver","Induced",101,0.410222286375973,0.576720105544113,0.719560277139482
"H3K79me2","liver","Spontaneous",11,0.454507864437745,0.524032415148591,0.678737302745881
"H3K9ac","liver","Induced",101,0.509182782162231,0.714849400638072,0.895993533187117
"H3K9ac","liver","Spontaneous",11,0.533424378982505,0.605836530512842,0.748618645277902
